Liczba zwierzaków,Liczba pól z trawą,Liczba pustych pól, Najpopularniejszy gen, Średnia energia, Średnia liczba dzieci, Średni czas życia martwych zwierzaków
3,5,27,6,4.0,0.0,0.0,
3,10,22,6,3.0,0.0,0.0,
3,15,18,6,2.0,0.0,0.0,
3,19,16,6,1.67,0.0,0.0,
3,24,10,6,0.67,0.0,0.0,
1,28,8,4,3.0,0.0,5.0,
1,33,2,4,2.0,0.0,5.0,
1,36,0,4,3.0,0.0,5.0,
1,36,0,4,4.0,0.0,5.0,
1,36,0,4,5.0,0.0,5.0,
1,36,0,4,6.0,0.0,5.0,
1,36,0,4,7.0,0.0,5.0,
1,36,0,4,8.0,0.0,5.0,
1,36,0,4,9.0,0.0,5.0,
1,36,0,4,10.0,0.0,5.0,
1,36,0,4,11.0,0.0,5.0,
1,36,0,4,12.0,0.0,5.0,
1,36,0,4,13.0,0.0,5.0,
1,36,0,4,14.0,0.0,5.0,
1,36,0,4,15.0,0.0,5.0,
1,36,0,4,16.0,0.0,5.0,
1,36,0,4,17.0,0.0,5.0,
1,36,0,4,18.0,0.0,5.0,
1,36,0,4,19.0,0.0,5.0,
1,36,0,4,20.0,0.0,5.0,
1,36,0,4,21.0,0.0,5.0,
1,36,0,4,22.0,0.0,5.0,
1,36,0,4,23.0,0.0,5.0,
1,36,0,4,24.0,0.0,5.0,
1,36,0,4,25.0,0.0,5.0,
1,36,0,4,26.0,0.0,5.0,
1,36,0,4,27.0,0.0,5.0,
1,36,0,4,28.0,0.0,5.0,
1,36,0,4,29.0,0.0,5.0,
